Document_ID,Design_Input,Risk_Assessment,Last_Reviewed,Compliance_Score,Critical_Issues
121287,"During final testing of the Draeger Fabius GS Premium, Fabius OS, and Fabius Tiro anesthesia machines, some units did not pass the high voltage test and the minimum clearance between an electrical component and the unit housing was not maintained for some from a specific batch.",Low,2013-08-14,78.01,0
130205,"A failure of a specific component may prevent the ventilators from operating on AC power or transitioning back to AC power when operating on battery.  Additionally, if a battery is not present or is depleted the ventilators will not operate.  This failure will cause the loss of ventilator support, which may result in hypercarbia or hypoxemia.",Low,2014-09-17,72.15,1
148982,"A reagent stability issue (still under investigation) causes less separation in the calibration curve, which affects results across the entire range.  For controls, maximum bias of +/- 35% for low levels, +/- 33% for mid-range levels, and +/- 47% for high levels is observed.  Bias in patient samples ranges from -15.7% to +5.2% with an average bias of -5.6% when comparing the QMS everolimus assay to an everolimus LC-MS reference method.  Patient samples across the measuring range  sub-therapeutic, therapeutic, and supra-therapeutic  could be affected.",Low,2016-08-15,45.42,0
157858,FDA determined that a 510(k) is needed for the Vault Mapping software (also known as Lens Fitting).,Low,2017-07-27,90.12,0
167116,Endologix is notifying physicians of patient tailored surveillance recommendations as well as general warnings/precautions for interventions to or through an existing AFX device.  This is a follow-up notification to the one that was sent out in December 2016.  The updates are related to the observation of Type III endoleaks.,Low,2018-07-31,59.25,0
176406,Potential for leaking product,,2018-09-21,51.19,0
183102,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,,2020-08-12,42.45,0
189118,There is a potential for false positive results.,Low,2021-09-02,75.45,0
196024,"Drill Pin (drill bit) is not compatible with the Drill Template included in the kit due to a packaging error,  result in a surgical delay and may cause soft tissue damage if a larger incision is required to accommodate an alternative form of fixation. Additionally, there is a potential for adverse tissue reaction if the surgeon attempts to use the guide regardless of tight fit and plastic debris is created and ends up in the wound",,2022-08-30,80.65,0
202938,"Ortho Clinical Diagnostics (QuidelOrtho) confirmed certain Proboscis/Piston Assemblies manufactured between 07-Apr-2022 (Date code: 040722) and 19-Dec-2022 (Date code: 121922) may not perform as intended due to an out-of-specification barrel component. This may cause VITROS VersaTips and/or VITROS MicroTips to be improperly seated on the proboscis, which may result in falsely elevated Gentamicin and Valproic Acid assay results as well as an increased frequency of condition codes resulting in delayed patient results. The issue was identified by internal testing when reported instruments failed to pass release testing and were traced to the molded Proboscis part J56639 with date codes from 040722 onward.",,2023-08-09,41.0,0
209940,The bulk product used in the recalling firm's repackaged finished product was recalled due to bacterial contamination.,,2024-08-23,70.73,1
29022,possible movement of table tilt and table longitudinal,Low,2003-08-08,53.59,0
35052,Inadequate trocar tip assembly that might yeild parts to patients.,Low,2004-09-17,78.71,0
41904,"Synchron LX Systems Operating Software Version 4.5/v4.6 CBD (Chemistry Database) introduced an adjustment to the urine Uric Acid database calculation scheme which for some patients, depending on the volume of 24 hour urine sample, results may be reduced from above the upper limit of the laboratory's reference interval to below the limit.",Low,2005-09-06,50.46,0
48342,Tibial punches were not manufactured to specification and could break at the tip during use.,Low,2006-08-29,81.46,0
54604,"Angled Insert Impactor may scratch Tibial Insert on the articulating surface, causing increased wear at the damaged site.",Low,2007-08-09,63.2,0
71819,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,96.2,0
82498,"The cup associated with these lots of product may have a pin-sized hole in the floor of the cup.  As a result, there is a potential  for affected lots of cups to leak urine after an extended period of time.",Low,2009-04-27,48.25,0
94055,"Users may inadvertently leave a test plug in the inspiratory flow sensor after completing Low P Leak Check on the SCGO (Switched Common Gas Outlet) configuration of Avance, Amingo, and Aisys anesthesia machines that may impact patient safety.
If the test plug remains in place and therapy is initiated, the machine will not provide gas to the patient. This would inhibit mechanical or manual ventila",Low,2010-08-30,60.46,0
104075,Hospira has received reports of continuous recycling and/or rebooting of Plum A+ infusion pumps when the backlight intensity and/or display contrast settings for the LED display has been adjusted from the original default setting.  This condition could cause a delay in therapy if the clinician is unable to start the device due to the continuous recycling and/or rebooting.,Low,2011-09-16,46.81,0
112429,"Accuro has received reports of some Apex Pumps either failing to operate or malfunctioning, at times without notifying the user of such failure or malfunction on the unit's display screen.",Low,2012-08-31,95.48,1
122228,"GE Healthcare has recently become aware of a potential safety issue involving the Avance, Avance CS2, and Aisys anesthesia devices.

While operating in Pressure Control Ventilation  Volume Guarantee (PCV-VG) mode, the affected products may produce an over delivery tidal volume when given a unique sequence of user inputs and a collapsed bellows (partially filled circuit).

Exposure to excessiv",Low,2013-09-16,92.64,0
129485,"Two (2) failures of the spring link components within the articulated arm assembly. The spring links broke during normal assembly process for the articulated arm during first cycle of the arm, prior to the 14lb tube head (full load) being installed onto the assembled articulated arm.",Low,2014-08-12,55.48,1
149530,"The infant performance test did not meet the test specification for the Infant Head Uniformity test with High Resolution.  As a result, when the user performs High Resolution head scans, the reconstructed images may exhibit degraded image quality manifested as non-uniformity of the image, CT number shift greater than 5 Hounsfield units, and reduction in gray/white matter differentiation.  The issue is most sever in the High Resolution mode, and the factory reference pediatric scan protocols are set to High Resolution default.  Adults head scans have a factory reference protocol that defaults to standard resolution which doesn't experience the issue.",Low,2016-08-24,79.6,0
157859,FDA determined that a 510(k) is needed for the Vault Mapping software (also known as Lens Fitting).,Low,2017-07-27,89.03,0
167117,Endologix is notifying physicians of patient tailored surveillance recommendations as well as general warnings/precautions for interventions to or through an existing AFX device.  This is a follow-up notification to the one that was sent out in December 2016.  The updates are related to the observation of Type III endoleaks.,Low,2018-07-31,73.31,0
173770,Device vented gas below the stated pressure.,Low,2019-06-14,71.78,0
183103,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,,2020-08-12,54.51,0
189108,"Ultrasound gels and lotions manufactured by Eco-Med Pharmaceutical, Inc. may contain bacterial contamination. On August 18, 2021, FDA published a Letter to Health Care Providers to further address this issue: https://www.fda.gov/medical-devices/letters-health-care-providers/stop-using-all-eco-med-ultrasound-gels-and-lotions-due-risk-bacterial-contamination-letter-health.",,2021-09-07,45.59,1
195981,Potential for leakage at the catheter hub.,,2022-09-01,93.83,0
202571,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,94.03,0
209749,"Sample preparation system with software may cause: 1) Multidispense feature enabled with 2-tube assay: Specimen volume dispensed into tube1 at least 3% higher than volume in tube2, or 2) Absolute counts calculated using Trucount Tubes: increased volume in tube1 may result in 20% higher absolute counts in tube 1 than tube 2; could result in additional blood collection, delayed results/patient therapy.",,2024-08-12,77.99,0
29740,Mislabeled.  7mm balloon labeled 12mm,Low,2003-09-18,60.34,0
35097,Several complaints of pumps exhibiting A47 alarms were received.  Investigation revealed the alarms occurred when the pump attempted to display text that exceeded the maximum display length of the pump screen. The investigation revealed this only occurs when the pump is programmed to display information in Spanish.,Low,2004-09-14,60.95,0
41910,Software deficiency causing potential shift in absorbance readings for test results.,Low,2005-09-14,83.56,0
48343,Tibial punches were not manufactured to specification and could break at the tip during use.,Low,2006-08-29,93.83,0
55286,"Angled Insert Impactor may scratch Tibial Insert on the articulating surface, causing increased wear at the damaged site.",Low,2007-08-09,93.23,0
71820,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,86.79,0
82499,"The cup associated with these lots of product may have a pin-sized hole in the floor of the cup.  As a result, there is a potential  for affected lots of cups to leak urine after an extended period of time.",Low,2009-04-27,78.52,0
94057,"Users may inadvertently leave a test plug in the inspiratory flow sensor after completing Low P Leak Check on the SCGO (Switched Common Gas Outlet) configuration of Avance, Amingo, and Aisys anesthesia machines that may impact patient safety.
If the test plug remains in place and therapy is initiated, the machine will not provide gas to the patient. This would inhibit mechanical or manual ventila",Low,2010-08-30,45.05,0
104076,Hospira has received reports of continuous recycling and/or rebooting of Plum A+ infusion pumps when the backlight intensity and/or display contrast settings for the LED display has been adjusted from the original default setting.  This condition could cause a delay in therapy if the clinician is unable to start the device due to the continuous recycling and/or rebooting.,Low,2011-09-16,49.7,0
112660,The 8 Fr. Bardex All-Silicone Foley Catheter with 3cc balloon had an incorrect inflation volume (10 ml instead of 5 ml) printed on the valve cap.,Low,2012-09-07,93.91,0
121843,"GE Healthcare has recently become aware of a potential safety issue involving unresponsive buttons on the display of the Engstrm ventilator and the Aespire View, Aisys, and Avance anesthesia machines.

As a result of a manufacturing issue, the buttons on the left, right, and bottom keypads may not always detect button presses. This may result in the inability to access certain menu functions wh",Low,2013-08-28,76.39,0
130227,GE Healthcare has become aware of a potential safety issue involving missing screws used for mounting the overhead Video Monitor to the tray assembly on a single monitor suspension. This issue affects the Precision 500D X-ray imaging systems.,Low,2014-09-05,40.55,0
149532,"The infant performance test did not meet the test specification for the Infant Head Uniformity test with High Resolution.  As a result, when the user performs High Resolution head scans, the reconstructed images may exhibit degraded image quality manifested as non-uniformity of the image, CT number shift greater than 5 Hounsfield units, and reduction in gray/white matter differentiation.  The issue is most sever in the High Resolution mode, and the factory reference pediatric scan protocols are set to High Resolution default.  Adults head scans have a factory reference protocol that defaults to standard resolution which doesn't experience the issue.",Low,2016-08-24,46.09,0
157860,FDA determined that a 510(k) is needed for the Vault Mapping software (also known as Lens Fitting).,Low,2017-07-27,79.81,0
166209,"The ABL90 FLEX can aspirate Cal 2 solution instead of rinse solution, when the following take place:
 The analyzer is in ready mode
 Operator lifts the inlet and then closes it again, thereby initiating a rinse
 Immediately after lifts the inlet and quickly closes it again",Low,2018-05-25,40.3,0
173478,The incorrect device was packaged in the vial.,Low,2018-08-07,49.65,0
183236,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,72.92,0
189109,"Ultrasound gels and lotions manufactured by Eco-Med Pharmaceutical, Inc. may contain bacterial contamination. On August 18, 2021, FDA published a Letter to Health Care Providers to further address this issue: https://www.fda.gov/medical-devices/letters-health-care-providers/stop-using-all-eco-med-ultrasound-gels-and-lotions-due-risk-bacterial-contamination-letter-health.",,2021-09-07,81.51,1
195692,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,79.12,0
202572,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,53.46,0
209943,Certain CADD Medication Cassette Reservoirs may exhibit a weakened weld joint between the medication bag and tubing due to a production equipment malfunction. This could result in a medication leakage.,,2024-06-26,82.73,0
27445,Reports of broken plug ground pins on AC power cords for patient monitors.,Low,2003-04-30,54.23,0
35098,Several complaints of pumps exhibiting A47 alarms were received.  Investigation revealed the alarms occurred when the pump attempted to display text that exceeded the maximum display length of the pump screen. The investigation revealed this only occurs when the pump is programmed to display information in Spanish.,Low,2004-09-14,59.52,0
38862,Stryker was made aware that the short arm of  the bone inserter may fracture during use and potentially result in an adverse health consequence.,Low,2005-04-04,84.79,0
48344,Tibial punches were not manufactured to specification and could break at the tip during use.,Low,2006-08-29,78.98,0
55294,Marketed a regulated product without a 510(k).,Low,2007-08-17,90.95,0
71821,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,79.46,0
84200,Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Low,2009-08-11,74.1,0
94382,Tubing packs may contain defective 1/2 inch x 1/2 inch tubing connectors. Leaks at the shank of the connector may result in air aspiration in the venous line.,Low,2010-09-07,45.62,1
104077,Hospira has received reports of continuous recycling and/or rebooting of Plum A+ infusion pumps when the backlight intensity and/or display contrast settings for the LED display has been adjusted from the original default setting.  This condition could cause a delay in therapy if the clinician is unable to start the device due to the continuous recycling and/or rebooting.,Low,2011-09-16,62.06,0
112615,"HeartStart XL Defibrillator/Monitor (M4735A) used on a patient when AC power is not in use, with a battery that may fail, the device may shut down unexpectedly without providing the user with a low battery warning message or audible tone.",Low,2012-09-11,55.91,0
120751,"Siemens determined that if an autosampler rack jam error occurs during operation of an ADVIA 2120/2120i connected to an ADVIA Autoslide, it is possible that the next slide processed by the Autoslide could be labeled with the wrong sample identification information.",Low,2013-08-12,54.64,0
129616,"Nemschoff Chairs, Inc. is recalling various model of the Serenity Treatment Chair  because of potential elevated temperatures in the seat and back lumbar areas of the chair.",Low,2011-01-18,98.38,0
149533,"The infant performance test did not meet the test specification for the Infant Head Uniformity test with High Resolution.  As a result, when the user performs High Resolution head scans, the reconstructed images may exhibit degraded image quality manifested as non-uniformity of the image, CT number shift greater than 5 Hounsfield units, and reduction in gray/white matter differentiation.  The issue is most sever in the High Resolution mode, and the factory reference pediatric scan protocols are set to High Resolution default.  Adults head scans have a factory reference protocol that defaults to standard resolution which doesn't experience the issue.",Low,2016-08-24,63.59,0
157991,There is a potential to generate falsely-depressed patient results in the cuvettes adjacent to the detached segment post for any assay run on the c4000 instrument.,Low,2015-01-15,93.52,0
165749,Sterility failure found in one of the units in the lot.,Low,2018-01-11,77.87,1
175202,"The affected lots may be packaged in syringes which include an incorrect bung.  The incorrect bung is made of a latex-free isoprene rubber material.  After prolonged storage and exposure to contained solutions, the rubber bung may degrade due to chemical interaction with the bleach solution.",Low,2019-06-27,87.69,0
183405,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,70.16,0
188854,The devices malfunction under specific operator workflows.,,2021-09-03,74.61,0
195693,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,69.55,0
202573,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,51.71,0
209944,Certain CADD Medication Cassette Reservoirs may exhibit a weakened weld joint between the medication bag and tubing due to a production equipment malfunction. This could result in a medication leakage.,,2024-06-26,83.35,0
27322,"Incorrect results, without a data flag, reported if one of the other reagent containers becomes depleted before the R1 reagent is depleted.",Low,2003-05-08,56.85,0
34918,"GE Healthcare received reports of intermittent low ejection fraction (EF) results for MUGA (multi-gated acquisitions) studies on Millennium VG systems.  This issue can occasionally lead to distortions in the volume curve in some MUGA studies, and result in calculated EF values lower (never higher) than actual values.  A low EF value could lead to a physician decision to stop needed treatment.",Low,2004-09-03,41.46,0
40870,"Upon evaluation, the firm found that the fatigue strength of these nails was below the required value as specified in the design specification.",Low,2005-06-24,78.73,0
48367,The end label on the outer box was mislabeled on 9 of a 10 unit lot. The end label says ''22 mm'' and the implants are actually ''20 mm''. The main label on the cardboard box applied by the contract packager is correct in identifying the product as ''20 mm''.,Low,2006-02-27,50.63,0
55299,Complaints received of rust on the blades of BD Bard-Parker Surgical blades.,Low,2007-08-10,96.43,0
71822,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,97.24,0
84763,Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Low,2009-08-11,94.89,0
93207,"When a patient is selected in the patient list and examination tab pressed with background query running at the same time, the wrong patient may be selected.",Low,2008-08-15,62.21,0
104047,"On 09/18/2011, Biomet Microfixation, Jacksonville, FL, recalled their SP-2411, Rubber Band, Lot 307850 because it was labeled and sold as ""LATEX FREE"" although it contains ""LATEX"". The firm's HHE identified this as a potential high health risk to the patients or end users with latex allergies.",Low,2011-08-18,40.93,0
112399,"Baxter has determined that the ball-valve feature of the Buretrol Solution Sets may not function as expected, allowing air to flow past the valve and into the tubing at the completion of dose within the burette.",Low,2012-09-07,95.7,0
121932,"GE Healthcare has recently become aware of a potential safety issue involving the spotfilm device power assist handle.

There is a potential for the internal bolts on the power assist handle to be loose or to loosen and/or fall out. This issue, if present, can result in a loss of calibration and offset of the power assist handle and/or, under extreme condition, sticking of the handle in the ON p",Low,2013-08-30,65.69,0
130146,The affected lots could have NBF concentrations that are lower or higher than the desired specifications.,Low,2014-09-17,98.0,0
149535,"The infant performance test did not meet the test specification for the Infant Head Uniformity test with High Resolution.  As a result, when the user performs High Resolution head scans, the reconstructed images may exhibit degraded image quality manifested as non-uniformity of the image, CT number shift greater than 5 Hounsfield units, and reduction in gray/white matter differentiation.  The issue is most sever in the High Resolution mode, and the factory reference pediatric scan protocols are set to High Resolution default.  Adults head scans have a factory reference protocol that defaults to standard resolution which doesn't experience the issue.",Low,2016-08-24,97.82,0
158813,"During an examination images were displayed on the live monitor,but the images were not displayed on the system monitor nor were they saved to the hard disk.",Low,2017-09-12,91.18,0
167190,The Equinoxe Reverse Drill Bit Kits may contain two 2mm diameter drill bits instead of one 2mm diameter drill bit and one 3.2mm diameter drill bit as intended.,,2018-08-21,57.67,0
175272,"The affected lots may be packaged in syringes which include an incorrect bung.  The incorrect bung is made of a latex-free isoprene rubber material.  After prolonged storage and exposure to contained solutions, the rubber bung may degrade due to chemical interaction with the bleach solution.",Low,2019-06-27,63.11,0
183406,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,91.07,0
189064,A software anomaly exists in the Centricity Universal Viewer study management feature in which study changes are not propagated to either the Centricity Enterprise Archive (EA) or another Vendor Neutral Archive (VNA).,Low,2021-08-12,59.02,0
195694,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,50.17,0
202574,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,73.41,0
209945,Certain CADD Medication Cassette Reservoirs may exhibit a weakened weld joint between the medication bag and tubing due to a production equipment malfunction. This could result in a medication leakage.,,2024-06-26,96.17,0
27422,Instructions for use contained incorrect sensor reference.,Low,2000-11-16,81.76,0
33962,Mislabeled as to size; 1.55 mm pins are labeled as 2mm.,Low,2004-07-07,74.2,0
41024,Did not meet specifications.,Low,2005-08-03,45.83,0
50795,"A potential anomaly was identified on the CT subsytem, which could result in the radiation dose being different than the calculated dose reported to the operator.",Low,2006-11-06,76.9,0
55336,Complaints received of rust on the blades of BD Bard-Parker Surgical blades.,Low,2007-08-10,99.4,0
72501,Potential for tubing fracture near the tip of the catheter.,Low,2008-06-23,48.41,0
84764,Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Low,2009-08-11,71.1,0
92444,Firm discovered that some of their straight broach handles are experiencing early failure due to a weakened handle locking mechanism (Leaf Spring).,Low,2010-06-15,92.64,1
104065,Post-operative kits 57 mm may contain 70 mm pouches.,Low,2011-06-22,84.45,0
112401,"Baxter has determined that the ball-valve feature of the Buretrol Solution Sets may not function as expected, allowing air to flow past the valve and into the tubing at the completion of dose within the burette.",Low,2012-09-07,81.82,0
121957,There are artifacts appearing on the Tracker images during threshold-triggered bolus scans with protocols using a Rotation Time of 0.4 seconds.,Low,2013-08-30,82.15,0
130167,The affected lots could have NBF concentrations that are lower or higher than the desired specifications.,Low,2014-09-17,61.57,0
139351,"If two specific operations are performed in multi-phase helical scanning, the acquired raw data may not be saved.",Low,2015-05-08,57.62,0
149426,Siemens became aware of a potential issue with the patient table for Ysio Max and Multix Fusion systems.  There is an unlikely risk that an internal part of the table may detach causing the table top to tilt to the left side which could result in an injury to a patient on the table.,Low,2016-08-01,88.56,1
158653,"During internal cycle testing of A-Series lifts Handicare has found that the A-Series lift strap for lifts manufactured between April 25, 2017 and June 12, 2017 may wear prematurely at max load (625 lbs). We have identified the root cause as a supplied component that was not to specification. If the strap wears during use there is a potential risk for the person being supported by the lift to drop.",Low,2017-09-08,88.61,0
166988,Potential for product sterility breach due to a compromised or pinched seal defect,Low,2018-08-01,92.02,1
175276,"The affected lots may be packaged in syringes which include an incorrect bung.  The incorrect bung is made of a latex-free isoprene rubber material.  After prolonged storage and exposure to contained solutions, the rubber bung may degrade due to chemical interaction with the bleach solution.",Low,2019-06-27,94.79,0
183407,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,70.68,0
189019,"Some devices are outside tolerances and showed a maximal deviation of 2 degrees in the orientation between the peek head and titanium base, and an incongruence between the size engraved on the peek has been identified. Deviations may delay the final restoration.",Low,2021-07-26,70.09,0
195740,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,87.9,0
202575,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,79.0,0
209946,Certain CADD Medication Cassette Reservoirs may exhibit a weakened weld joint between the medication bag and tubing due to a production equipment malfunction. This could result in a medication leakage.,,2024-06-26,82.12,0
27423,Instructions for use contained incorrect sensor reference.,Low,2000-11-16,87.75,0
34911,Mouse anti-TTF-1 had become contaminated by immunoglobulins from mouse serum that was co-eluted during purification leading to false readings.,Low,2004-04-06,93.4,0
42322,Did not meet specifications.,Low,2005-08-03,60.28,0
50798,"A potential anomaly was identified on the CT subsytem, which could result in the radiation dose being different than the calculated dose reported to the operator.",Low,2006-11-06,62.53,0
55355,Plates manufactured without vancomycin.  Possibility for false resistant results.,Low,2007-04-23,45.64,0
72537,"Docking screw/nut  failure, which may result in a treatment head dropping, potentially impacting the patient.",Low,2008-06-20,74.7,1
84765,Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Low,2009-08-11,42.16,0
74722,"Stryker Orthopaedics became aware that a box labeled as Duracon Total Knee Distal Femoral Locking Screws for 5 mm spacer, may actually contain a 10 mm screw.",Low,2006-10-05,67.94,0
104054,It is possible to load different patients in the record and verify (R&V) system and in the multilead control software (MCS).,Low,2011-05-25,72.56,0
112403,"Baxter has determined that the ball-valve feature of the Buretrol Solution Sets may not function as expected, allowing air to flow past the valve and into the tubing at the completion of dose within the burette.",Low,2012-09-07,57.19,0
121016,A post market safety review following several customer complaints indicated additional clarification was necessary in the Midfoot Fusion Bolt Technique Guide to reduce potential for bolt back-out or migration by emphasizing the need for supplemental fixation.,Low,2013-03-08,75.45,0
130169,The affected lots could have NBF concentrations that are lower or higher than the desired specifications.,Low,2014-09-17,41.83,0
139352,"If two specific operations are performed in multi-phase helical scanning, the acquired raw data may not be saved.",Low,2015-05-08,42.24,0
149427,Siemens became aware of a potential issue with the patient table for Ysio Max and Multix Fusion systems.  There is an unlikely risk that an internal part of the table may detach causing the table top to tilt to the left side which could result in an injury to a patient on the table.,Low,2016-08-01,89.36,1
158744,"A limited amount of Carina mobile lifts have been delivered with a too small locking pin. If a locking pin
smaller than the correct size is mounted on the Carina mobile lift, the locking pin is likely to cause
increased wear on the plastic bushings. In case of continued use, these components may cause wear on the metal of the piston rod eye.",Low,2016-07-28,61.61,0
166989,Potential for product sterility breach due to a compromised or pinched seal defect,Low,2018-08-01,47.62,1
175277,"The affected lots may be packaged in syringes which include an incorrect bung.  The incorrect bung is made of a latex-free isoprene rubber material.  After prolonged storage and exposure to contained solutions, the rubber bung may degrade due to chemical interaction with the bleach solution.",Low,2019-06-27,71.33,0
183408,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,86.2,0
189020,"Some devices are outside tolerances and showed a maximal deviation of 2 degrees in the orientation between the peek head and titanium base, and an incongruence between the size engraved on the peek has been identified. Deviations may delay the final restoration.",Low,2021-07-26,52.95,0
195742,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,77.37,0
202576,Stryker Neurovascular has observed that certain lots of Guider Softip XF Guide Catheters appear to have the incorrect tip curve shape. The impacted products were distributed with a tip curve shape which differs from the labeled tip curve shape.,,2023-07-27,45.12,0
209947,Certain CADD Medication Cassette Reservoirs may exhibit a weakened weld joint between the medication bag and tubing due to a production equipment malfunction. This could result in a medication leakage.,,2024-06-26,43.1,0
27424,Instructions for use contained incorrect sensor reference.,Low,2000-11-16,71.88,0
34912,Mouse anti-TTF-1 had become contaminated by immunoglobulins from mouse serum that was co-eluted during purification leading to false readings.,Low,2004-04-06,72.44,0
42323,Did not meet specifications.,Low,2005-08-03,78.25,0
48062,During use an unexpected flaking of the inner surface coating (blood contact) that has the potential for risk of embolism.,Low,2004-01-26,83.57,0
55366,Method is susceptible to positive interference from endogenous ALT in patient samples.,Low,2007-07-24,98.55,0
72775,The latex free labor & delivery packs contain a latex Nuk pacifier.  The pacifier is packaged separately and offers no risk of exposure of latex particles to other components of the pack.,Low,2008-08-04,70.98,0
84766,Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Low,2009-08-11,59.38,0
92980,One box containing five catheters did not complete the sterilization process prior to distribution.,Low,2010-05-24,87.71,0
103871,"The firm manufactured kits containing a HCH device, manufactured by Vital Signs, that was subsequently recalled because the product may have an occlusion that could prevent proper flow of medical gases or oxygen to the patient.",Low,2011-08-23,56.25,0
112404,"Baxter has determined that the ball-valve feature of the Buretrol Solution Sets may not function as expected, allowing air to flow past the valve and into the tubing at the completion of dose within the burette.",Low,2012-09-07,66.34,0
121955,"Sekisuki Diagnostics has issued a Product Correction for certain lot numbers of the OSOM C. difficile Toxin A/B Test Kit, because it has been determined that there is potential for false negative results.",Low,2013-09-16,44.71,0
130170,The affected lots could have NBF concentrations that are lower or higher than the desired specifications.,Low,2014-09-17,41.52,0
139353,"If two specific operations are performed in multi-phase helical scanning, the acquired raw data may not be saved.",Low,2015-05-08,97.76,0
150055,Siemens became aware of a potential issue with the patient table for Ysio Max and Multix Fusion systems.  There is an unlikely risk that an internal part of the table may detach causing the table top to tilt to the left side which could result in an injury to a patient on the table.,Low,2016-08-01,90.16,1
158766,"During a bolus tracking procedure, no images were generated when the scan was completed, and the raw data file was not available for offline reconstruction. There is a discrepancy between the calculated reconstruction length and the actual scan length that results in the inability to reconstruct raw data. The operator may choose to rescan the patient.",Low,2017-01-18,81.76,0
166990,Potential for product sterility breach due to a compromised or pinched seal defect,Low,2018-08-01,64.54,1
175281,"The affected lots may be packaged in syringes which include an incorrect bung.  The incorrect bung is made of a latex-free isoprene rubber material.  After prolonged storage and exposure to contained solutions, the rubber bung may degrade due to chemical interaction with the bleach solution.",Low,2019-06-27,50.4,0
183409,"The surgical suture is non-sterile. Use could compromise the sterile field, increase risk of a surgical site infection, and increase break strength retention.",Low,2020-08-03,49.39,0
189021,"Some devices are outside tolerances and showed a maximal deviation of 2 degrees in the orientation between the peek head and titanium base, and an incongruence between the size engraved on the peek has been identified. Deviations may delay the final restoration.",Low,2021-07-26,55.01,0
195744,"Device label display an incorrect expiration date, extends the shelf life of the product. Affected product  distributed in the United States from 3/25/2018 to 9/28/2020, expiration dates between 2022-11-01 and 2025-09-01 (Devices have a lot number ending in R, or are kits containing at least 1 device with a lot number ending in R.)",,2022-07-29,72.95,0
